date,total_sales,total_redemptions,net_movement,peak_occupancy
2015-05-01,4,1,3,4
2015-05-04,75,12,63,63
2015-05-05,549,537,12,192
2015-05-06,1358,989,369,454
2015-05-07,2170,1343,827,838
2015-05-08,3390,2108,1282,1329
2015-05-09,6145,5604,541,968
2015-05-10,3554,3013,541,566
2015-05-11,908,395,513,519
2015-05-12,3631,512,3119,3131
2015-05-13,1181,643,538,541
2015-05-14,2563,1774,789,789
2015-05-15,1162,635,527,527
2015-05-16,7640,6958,682,2006
2015-05-17,8249,7089,1160,4804
2015-05-18,9244,7250,1994,5509
2015-05-19,4570,1862,2708,2891
2015-05-20,1518,2776,-1258,16
2015-05-21,2226,1760,466,659
2015-05-22,2257,1881,376,588
2015-05-23,7058,6401,657,3831
2015-05-24,9279,8208,1071,1506
2015-05-25,1540,1221,319,387
2015-05-26,2997,2345,652,722
2015-05-27,2390,1898,492,506
2015-05-28,3244,2774,470,710
2015-05-29,4663,4221,442,789
2015-05-30,3111,3054,57,424
2015-05-31,609,406,203,204
2015-06-01,1809,1116,693,706
2015-06-02,3234,3025,209,322
2015-06-03,3977,2719,1258,1371
2015-06-04,3683,3432,251,440
2015-06-05,3389,3306,83,1282
2015-06-06,9082,6200,2882,4042
2015-06-07,8547,8046,501,3497
2015-06-08,1194,775,419,489
2015-06-09,2001,1525,476,519
2015-06-10,3192,1858,1334,1343
2015-06-11,7881,3134,4747,6028
2015-06-12,4225,3282,943,1120
2015-06-13,12871,2017,10854,11059
2015-06-14,2992,9475,-6483,-253
2015-06-15,3028,2618,410,431
2015-06-16,4889,4761,128,1400
2015-06-17,5270,4510,760,765
2015-06-18,3867,3342,525,536
2015-06-19,6818,6514,304,2799
2015-06-20,15399,4994,10405,14455
2015-06-21,10784,9930,854,5923
2015-06-22,6535,5741,794,1078
2015-06-23,4184,7461,-3277,-3
2015-06-24,6610,2494,4116,4537
2015-06-25,3890,3352,538,919
2015-06-26,9887,580,9307,9436
2015-06-27,1287,8569,-7282,-2
2015-06-28,427,318,109,125
2015-06-29,9389,1008,8381,8381
2015-06-30,2871,1641,1230,1236
2015-07-01,16358,2118,14240,14240
2015-07-02,9679,2239,7440,7583
2015-07-03,11647,2666,8981,9113
2015-07-04,14685,2046,12639,12809
2015-07-05,13781,192,13589,13612
2015-07-06,8552,1615,6937,7003
2015-07-07,2846,2554,292,756
2015-07-08,7261,892,6369,6380
2015-07-09,5229,721,4508,4527
2015-07-10,10069,379,9690,9705
2015-07-11,13053,1015,12038,12038
2015-07-12,10713,695,10018,10018
2015-07-13,6768,7315,-547,-13
2015-07-14,2118,1776,342,394
2015-07-15,7717,7852,-135,-6
2015-07-16,9427,8481,946,960
2015-07-17,1918,2347,-429,11
2015-07-18,23354,23889,-535,982
2015-07-19,15297,15934,-637,2
2015-07-20,9422,9271,151,240
2015-07-21,8688,7921,767,784
2015-07-22,10504,9770,734,753
2015-07-23,10331,9896,435,444
2015-07-24,10815,10246,569,570
2015-07-25,14306,13836,470,470
2015-07-26,18040,17287,753,759
2015-07-27,10379,9459,920,920
2015-07-28,10721,9257,1464,1464
