hour,avg_sales_per_interval,avg_redemptions_per_interval,total_sales,total_redemptions,tickets_sold_per_hour,tickets_redeemed_per_hour
0,10.797152330797738,0.06943631753462064,55357,356,43.18860932319095,0.27774527013848255
1,6.5412967446865755,0.6004842615012107,24314,2232,26.165186978746302,2.401937046004843
2,4.571252566735113,1.4271047227926077,11131,3475,18.285010266940454,5.708418891170431
3,4.330546623794212,2.1588424437299034,6734,3357,17.322186495176847,8.635369774919614
4,3.087971274685817,2.0547576301615798,3440,2289,12.351885098743267,8.219030520646319
5,3.4130170316301705,1.3083941605839415,5611,2151,13.652068126520682,5.233576642335766
6,8.763427734375,10.3353271484375,71790,84667,35.0537109375,41.34130859375
7,10.593875236294895,8.22359168241966,140104,108757,42.37550094517958,32.89436672967864
8,24.423788729465585,17.750606501698204,352362,256088,97.69515491786234,71.00242600679282
9,52.45883005267535,46.781535902411974,756876,674964,209.8353202107014,187.1261436096479
10,74.47237247517974,80.54241698048614,1087669,1176322,297.88948990071896,322.16966792194455
11,92.76125914490905,98.49546949459695,1382050,1467484,371.0450365796362,393.9818779783878
12,94.51902516767382,100.23793080549838,1423362,1509483,378.07610067069527,400.9517232219935
13,92.67002452117437,97.17880575253496,1398298,1466331,370.6800980846975,388.7152230101398
14,91.47608695652174,96.29959239130434,1346528,1417530,365.90434782608696,385.1983695652174
15,79.93972475850205,83.02487759693,1208209,1254838,319.7588990340082,332.09951038772
16,67.43929680787787,69.6001586147644,1020424,1053120,269.75718723151147,278.4006344590576
17,53.65125318321941,54.285350489210565,800584,810046,214.60501273287764,217.14140195684226
18,40.04551383263541,40.24418205533054,583343,586237,160.18205533054163,160.97672822132216
19,31.053964023984012,28.94174254200903,419508,390974,124.21585609593605,115.76697016803612
20,22.909722752615902,18.0162682349347,299957,235887,91.63889101046361,72.0650729397388
21,19.20342664092664,11.186132561132561,238737,139066,76.81370656370656,44.744530244530246
22,16.818424343476448,7.525719049604001,201737,90271,67.27369737390579,30.102876198416006
23,12.707657272986053,4.684315399943069,133926,49368,50.83062909194421,18.737261599772275
