day_name,hour,avg_sales_count
Saturday,13,145.06485740570378
Sunday,13,142.6053604436229
Saturday,14,141.85211267605635
Saturday,12,141.25447864033072
Sunday,12,139.43200740055505
Sunday,14,138.11325966850828
Sunday,11,129.1167678654834
Saturday,11,128.4691128657687
Saturday,15,126.92477064220184
Sunday,15,124.95722919572292
Saturday,16,107.04323570432356
Sunday,10,101.99902865468674
Saturday,10,101.16532066508313
Sunday,16,99.28524743230625
Monday,11,89.58671065032988
Monday,12,89.40695488721805
Monday,13,86.23617619493908
Friday,11,86.21126760563381
Monday,14,84.29794356767097
Saturday,17,83.47736817545497
Friday,12,83.14703153988869
Friday,14,79.6498812351544
Friday,13,78.57281105990783
Wednesday,11,75.17246240601504
Sunday,17,74.04395604395604
Thursday,12,73.42244993013507
Thursday,11,72.8722902921772
Monday,10,72.31075888568684
Friday,10,72.12070610687023
Monday,15,71.73473193473194
Wednesday,12,70.45319049836982
Friday,15,69.90846366145354
Tuesday,11,66.89586305278173
Thursday,13,66.45328399629972
Wednesday,13,66.14637546468401
Thursday,14,64.64530120481928
Tuesday,14,64.2656629431763
Wednesday,14,64.18055555555556
Tuesday,12,63.48039215686274
Thursday,10,63.28379028379028
Saturday,9,63.240946402704004
Sunday,9,63.23247604639435
Tuesday,13,62.71870604781997
Friday,16,61.0551724137931
Wednesday,10,59.47061611374408
Monday,16,59.2387575336115
Saturday,18,58.11717267552182
Wednesday,15,56.207311429893565
Thursday,15,55.83872458410351
Tuesday,15,53.56661991584853
Friday,9,53.28598848368522
Tuesday,10,51.0771456123433
Sunday,18,50.463640800390436
Wednesday,9,50.12007684918348
Friday,17,49.90009293680298
Wednesday,16,48.968793024323084
Tuesday,16,48.837975858867225
Monday,17,48.828396803008935
Thursday,16,48.335020708697655
Thursday,9,47.43884892086331
Monday,9,47.36202656173143
Saturday,19,43.093591047812815
Tuesday,9,43.023444976076554
Thursday,17,41.78317757009346
Friday,18,41.394686907020876
Wednesday,17,39.445374244537426
Tuesday,17,38.379962192816635
Friday,19,36.816430020283974
Sunday,19,35.15295358649789
Monday,18,34.44606413994169
Thursday,18,33.191570881226056
Sunday,8,32.13012181616833
Tuesday,18,31.38346228239845
Wednesday,18,31.167145593869733
Saturday,20,31.130480167014614
Saturday,8,30.009679062659195
Friday,20,28.50414078674948
Wednesday,19,26.905943152454782
Monday,19,26.180947312400214
Thursday,19,25.797429305912598
Friday,21,25.417335473515248
Saturday,21,25.22543031649084
Friday,8,24.51806663538245
Sunday,20,24.11578947368421
Wednesday,8,23.36104624007473
Friday,22,23.278877887788777
Tuesday,19,23.01722338204593
Monday,8,21.523899668717462
Saturday,22,21.211898016997168
Tuesday,20,21.20889853499729
Tuesday,8,21.115675165250234
Thursday,20,20.456613756613756
Thursday,8,19.934570765661253
Thursday,21,19.044505494505493
Friday,23,17.968987712112348
Wednesday,20,17.64516129032258
Sunday,21,17.05275924802911
Monday,20,16.860314022739576
Wednesday,21,16.645484949832777
Saturday,23,16.37962962962963
Wednesday,22,15.573402417962004
Saturday,0,15.557917109458023
Monday,21,15.50173611111111
Thursday,22,15.255223037831733
Saturday,7,15.198995605775266
Tuesday,21,14.890457368718238
Sunday,7,14.879946344735076
Sunday,22,14.64294710327456
Sunday,0,14.131749460043197
Monday,22,13.93288590604027
Sunday,23,13.555555555555555
Tuesday,22,13.011329755515803
Thursday,23,12.625314861460957
Thursday,3,11.491428571428571
Wednesday,7,10.347783731125183
Tuesday,6,10.269354838709678
Wednesday,6,10.003060443764346
Friday,7,9.437745098039215
Monday,0,9.306501547987617
Thursday,7,9.2986886838271
Friday,0,9.152815013404826
Wednesday,23,9.098250336473756
Monday,23,9.035150645624103
Tuesday,23,9.012295081967213
Saturday,1,9.009333333333334
Thursday,0,8.749613601236476
Monday,7,8.69658337582866
Monday,6,8.419773095623986
Thursday,6,8.404440919904838
Tuesday,7,8.387080867850099
Saturday,6,8.306787330316743
Sunday,1,8.155049786628734
Sunday,6,7.932160804020101
Wednesday,0,7.9108589951377635
Thursday,2,7.827205882352941
Friday,6,7.606885508406726
Tuesday,0,7.03476821192053
Monday,1,6.028384279475983
Thursday,4,5.807017543859649
Saturday,2,5.416666666666667
Friday,1,5.2347504621072085
Wednesday,1,5.040449438202248
Thursday,1,4.936320754716981
Tuesday,1,4.7853535353535355
Sunday,2,4.279441117764471
Tuesday,3,3.9295774647887325
Sunday,5,3.8926174496644297
Friday,3,3.8868778280542986
Friday,2,3.818452380952381
Wednesday,4,3.806451612903226
Thursday,5,3.76271186440678
Tuesday,5,3.7621621621621624
Monday,2,3.75
Saturday,5,3.640226628895184
Saturday,3,3.3863013698630136
Wednesday,2,3.2895752895752897
Sunday,3,3.225225225225225
Wednesday,3,3.1788079470198674
Monday,3,3.0714285714285716
Tuesday,2,2.991489361702128
Sunday,4,2.9913419913419914
Friday,5,2.9448818897637796
Monday,5,2.8260869565217392
Wednesday,5,2.77720207253886
Friday,4,2.694915254237288
Saturday,4,2.534782608695652
Monday,4,2.5338345864661656
Tuesday,4,2.0761904761904764
